timestamp,satellite_id,satellite_type,clock_error_ns,ephemeris_error_x_m,ephemeris_error_y_m,ephemeris_error_z_m,total_eph_error_m
2024-01-01 00:00:00,GEO_01,GEO,-0.053318990177354864,-0.02530192369283732,-0.12408882254799103,0.06325231068063376,0.14155945051583235
2024-01-01 00:15:00,GEO_01,GEO,0.044385268229680974,-0.20099281609113565,-0.06889720538114505,0.03939616984851728,0.21609487552533488
2024-01-01 00:30:00,GEO_01,GEO,-0.037094319293646594,0.26212585991317067,0.004981716222764054,0.3422619820614579,0.4311357655036068
2024-01-01 00:45:00,GEO_01,GEO,0.23782760169820805,0.09738878399792086,0.15529920824487586,0.20149957297864945,0.2724050242573677
2024-01-01 01:00:00,GEO_01,GEO,0.26114137481235233,0.3686139478899392,0.3291667731887915,0.49945421132641127,0.7026247336681335
2024-01-01 01:15:00,GEO_01,GEO,0.9166772142485273,0.4879680342621809,0.736237180527396,0.45257564280363843,0.9924629468709413
2024-01-01 01:30:00,GEO_01,GEO,0.8834818437253585,0.7144844189223354,0.5267923796364884,0.45713244991100876,0.9984829857776757
2024-01-01 01:45:00,GEO_01,GEO,1.0461476691544944,0.3587598933663063,0.7102729724671852,0.6824369039423146,1.0482921750962115
2024-01-01 02:00:00,GEO_01,GEO,0.9828103335838403,0.17137655178247885,0.8184804255021881,0.7213826694609329,1.1043881044404984
2024-01-01 02:15:00,GEO_01,GEO,0.6783505546966676,0.7124354734295257,0.8103978984139001,0.773109562320508,1.3274062878055934
2024-01-01 02:30:00,GEO_01,GEO,0.8213550722494545,0.9825035213223252,0.8334369568569094,0.7515644339753431,1.4915694515785554
2024-01-01 02:45:00,GEO_01,GEO,1.0328092690165795,0.8819874484702381,0.7473698339331805,0.7622450250723666,1.3847313841247058
2024-01-01 03:00:00,GEO_01,GEO,0.707154291903267,0.728556970915849,1.0814631977727514,1.1109233035607997,1.7130407159204895
2024-01-01 03:15:00,GEO_01,GEO,1.0309522280062144,0.6246866930411126,1.1402387461085377,0.9384624948694249,1.6034617915205702
2024-01-01 03:30:00,GEO_01,GEO,0.7690991823748157,0.7787717129030306,0.7411690985276832,0.8667727195537606,1.380982244923113
2024-01-01 03:45:00,GEO_01,GEO,0.6932412868770779,0.4827160583282185,0.8078320965922634,0.7884751860306122,1.2277217144933914
